what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1312934617260
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1312934617261
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1312934617262
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1312934617262
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1312934617263
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1312934617263
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1312934617264
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1312934617265
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1312934617265
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1312934617266
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1312934617266
os,sysinfo,,,"win32",1312934617269
arch,sysinfo,,,"x86",1312934617269
ws,sysinfo,,,"win32",1312934617269
locale,sysinfo,,,"en_US",1312934617269
processors,sysinfo,,,"4",1312934617269
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312934617269
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1312934617269
java.specification.name,sysinfo,,,"Java Platform API Specification",1312934617269
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312934617269
java.specification.version,sysinfo,,,"1.6",1312934617269
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312934617269
java.version,sysinfo,,,"1.6.0_22",1312934617269
java.vm.info,sysinfo,,,"mixed mode",1312934617269
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312934617269
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312934617269
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312934617269
java.vm.specification.version,sysinfo,,,"1.0",1312934617269
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312934617269
java.vm.version,sysinfo,,,"17.1-b03",1312934617269
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1312934618329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312934618812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312934691264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312934701064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312934737095
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1312934737110
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312934744715
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1312934744888
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1312934744894
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1312934745023
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1312934745023
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1312934745024
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1312934745025
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1312934745026
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1312934745027
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1312934745028
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1312934745028
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1312934745029
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1312934745029
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1312934745030
